state,year,state_pop,total_number_of_events,fed_amount
NC,2022,10698973.0,1,1479772.65
PR,2022,3221789.0,3,118530500.97999999
MN,2022,5717184.0,3,21555091.17
SC,2022,5282634.0,2,2005082.22
FL,2022,22244823.0,6,551964333.78
AZ,2022,7359197.0,3,0.0
ME,2022,1385340.0,1,1126484.14
NE,2022,1967923.0,3,9762358.57
MA,2022,6981974.0,1,24803857.71
RI,2022,1093734.0,1,8106814.350000001
ND,2022,779261.0,1,14542678.27
VA,2022,8683619.0,2,98536052.36
